# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
4825,1653347406.048544,15440000,0.09152214229106903,0.937711775302887,-0.16449818015098572,0.8581194281578064

4826,1653347406.7135437,15443200,0.09139463305473328,0.9054747819900513,-0.16449818015098572,0.8581194281578064

4827,1653347407.8275447,15446400,0.09139463305473328,0.9054747819900513,-0.16456027328968048,0.862636923789978

4828,1653347408.6651258,15449600,0.09074670076370239,0.9132965803146362,-0.16456027328968048,0.862636923789978

4829,1653347409.660219,15452800,0.09074670076370239,0.9132965803146362,-0.16461209952831268,0.8732207417488098

4830,1653347410.6695127,15456000,0.08982617408037186,0.941897451877594,-0.16461209952831268,0.8732207417488098

4831,1653347411.465187,15459200,0.08982617408037186,0.941897451877594,-0.16509458422660828,0.8420679569244385

4832,1653347412.9067156,15462400,0.08953047543764114,0.9111005663871765,-0.16509458422660828,0.8420679569244385

4833,1653347413.2531128,15465600,0.08953047543764114,0.9111005663871765,-0.1644718050956726,0.9066258072853088

4834,1653347414.9047155,15468800,0.08938442170619965,0.8757030963897705,-0.1644718050956726,0.9066258072853088

4835,1653347415.1665566,15472000,0.08938442170619965,0.8757030963897705,-0.16451972723007202,0.8306886553764343

4836,1653347416.8207967,15475200,0.08938442170619965,0.8757030963897705,-0.1645500510931015,0.8215707540512085

4837,1653347417.1168678,15478400,0.08896643668413162,0.8821763396263123,-0.1645500510931015,0.8215707540512085

4838,1653347418.650016,15481600,0.08896643668413162,0.8821763396263123,-0.16395843029022217,0.8203880190849304

4839,1653347419.1376548,15484800,0.08835116028785706,0.9045939445495605,-0.16395843029022217,0.8203880190849304

4840,1653347420.9879408,15488000,0.08835116028785706,0.9045939445495605,-0.16454757750034332,0.8646682500839233

4841,1653347421.7278016,15491200,0.08829324692487717,1.0544384717941284,-0.16454757750034332,0.8646682500839233

4842,1653347422.8503428,15494400,0.08829324692487717,1.0544384717941284,-0.16481918096542358,1.3850802183151245

4843,1653347423.800897,15497600,0.08816844969987869,1.5207308530807495,-0.16481918096542358,1.3850802183151245

4844,1653347424.8875327,15500800,0.08816844969987869,1.5207308530807495,-0.16492679715156555,0.8744602203369141

4845,1653347425.9454486,15504000,0.08651826530694962,0.9351125359535217,-0.16492679715156555,0.8744602203369141

4846,1653347426.6632667,15507200,0.08651826530694962,0.9351125359535217,-0.16443172097206116,0.8660280704498291

4847,1653347428.0072215,15510400,0.08625449985265732,0.9265958666801453,-0.16443172097206116,0.8660280704498291

4848,1653347428.4150503,15513600,0.08625449985265732,0.9265958666801453,-0.16408415138721466,0.8450560569763184

4849,1653347430.2465193,15516800,0.08546532690525055,0.8947185277938843,-0.16408415138721466,0.8450560569763184

4850,1653347430.4678416,15520000,0.08546532690525055,0.8947185277938843,-0.16376972198486328,0.7887200713157654

4851,1653347432.0911045,15523200,0.08546532690525055,0.8947185277938843,-0.16407407820224762,0.8798294067382812

4852,1653347432.382349,15526400,0.08478296548128128,0.9185829162597656,-0.16407407820224762,0.8798294067382812

4853,1653347433.9977112,15529600,0.08478296548128128,0.9185829162597656,-0.16409437358379364,0.8356826305389404

4854,1653347434.487252,15532800,0.08459760993719101,0.917375922203064,-0.16409437358379364,0.8356826305389404

4855,1653347435.812174,15536000,0.08459760993719101,0.917375922203064,-0.1641051322221756,0.7984766364097595

4856,1653347436.6210008,15539200,0.08452466875314713,0.8699648380279541,-0.1641051322221756,0.7984766364097595

4857,1653347437.5571108,15542400,0.08452466875314713,0.8699648380279541,-0.1638757586479187,0.8070756793022156

4858,1653347438.6511645,15545600,0.08443620055913925,0.9074955582618713,-0.1638757586479187,0.8070756793022156

4859,1653347439.4887972,15548800,0.08443620055913925,0.9074955582618713,-0.16326364874839783,0.8134689927101135

4860,1653347440.915722,15552000,0.08382967114448547,0.8977121710777283,-0.16326364874839783,0.8134689927101135

4861,1653347441.40572,15555200,0.08382967114448547,0.8977121710777283,-0.16287477314472198,0.840288519859314

4862,1653347443.0299852,15558400,0.0835958868265152,0.8751320838928223,-0.16287477314472198,0.840288519859314

4863,1653347443.333049,15561600,0.0835958868265152,0.8751320838928223,-0.16298432648181915,0.7947602272033691

4864,1653347445.0910904,15564800,0.0835958868265152,0.8751320838928223,-0.1627793312072754,0.9295125603675842

4865,1653347445.227258,15568000,0.08318329602479935,0.9432756304740906,-0.1627793312072754,0.9295125603675842

4866,1653347446.9176972,15571200,0.08318329602479935,0.9432756304740906,-0.16110283136367798,0.8679220676422119

4867,1653347447.3776467,15574400,0.08278606086969376,0.9086778163909912,-0.16110283136367798,0.8679220676422119

4868,1653347448.855562,15577600,0.08278606086969376,0.9086778163909912,-0.1611553579568863,0.8655661940574646

4869,1653347449.4741516,15580800,0.08362479507923126,0.9489546418190002,-0.1611553579568863,0.8655661940574646

4870,1653347450.6094363,15584000,0.08362479507923126,0.9489546418190002,-0.1601048856973648,0.9004867076873779

4871,1653347451.6829324,15587200,0.08337995409965515,0.9363126158714294,-0.1601048856973648,0.9004867076873779

4872,1653347452.6269317,15590400,0.08337995409965515,0.9363126158714294,-0.16011592745780945,0.859040379524231

4873,1653347453.7719328,15593600,0.08311483263969421,0.9204419851303101,-0.16011592745780945,0.859040379524231

4874,1653347454.4029317,15596800,0.08311483263969421,0.9204419851303101,-0.16017784178256989,0.9061890244483948

4875,1653347455.8869312,15600000,0.08391677588224411,1.2646677494049072,-0.16017784178256989,0.9061890244483948

4876,1653347456.2739315,15603200,0.08391677588224411,1.2646677494049072,-0.16062326729297638,1.000153660774231

4877,1653347458.5869312,15606400,0.08391677588224411,1.2646677494049072,-0.16113680601119995,1.0380523204803467

4878,1653347458.601931,15609600,0.08412658423185349,1.3409191370010376,-0.16113680601119995,1.0380523204803467

4879,1653347460.4049313,15612800,0.08412658423185349,1.3409191370010376,-0.16278959810733795,0.94107985496521

4880,1653347460.8139338,15616000,0.08585002273321152,1.2331416606903076,-0.16278959810733795,0.94107985496521

4881,1653347462.3409328,15619200,0.08585002273321152,1.2331416606903076,-0.1636972874403,0.9443798065185547

4882,1653347463.1589315,15622400,0.08647602051496506,1.2278649806976318,-0.1636972874403,0.9443798065185547

4883,1653347464.2319312,15625600,0.08647602051496506,1.2278649806976318,-0.16364158689975739,0.904055655002594

4884,1653347465.2039306,15628800,0.08824259042739868,1.2791401147842407,-0.16364158689975739,0.904055655002594

4885,1653347465.9769313,15632000,0.08824259042739868,1.2791401147842407,-0.1631147265434265,1.0355613231658936

4886,1653347467.2409315,15635200,0.0885884091258049,1.5286920070648193,-0.1631147265434265,1.0355613231658936

4887,1653347467.7479308,15638400,0.0885884091258049,1.5286920070648193,-0.16190442442893982,1.1368913650512695

4888,1653347469.377931,15641600,0.08940485119819641,1.2594894170761108,-0.16190442442893982,1.1368913650512695

4889,1653347469.510932,15644800,0.08940485119819641,1.2594894170761108,-0.16093266010284424,0.9060894250869751

4890,1653347471.1529613,15648000,0.08940485119819641,1.2594894170761108,-0.159944549202919,0.8907535076141357

4891,1653347471.3776925,15651200,0.09097737073898315,1.1823890209197998,-0.159944549202919,0.8907535076141357

4892,1653347473.3337293,15654400,0.09097737073898315,1.1823890209197998,-0.15878437459468842,0.8415296673774719

4893,1653347474.0017264,15657600,0.09228022396564484,1.175746202468872,-0.15878437459468842,0.8415296673774719

4894,1653347475.1304758,15660800,0.09228022396564484,1.175746202468872,-0.15709084272384644,1.0850310325622559

4895,1653347476.092053,15664000,0.09236586838960648,1.3444585800170898,-0.15709084272384644,1.0850310325622559

4896,1653347477.0090652,15667200,0.09236586838960648,1.3444585800170898,-0.15664786100387573,0.8552936315536499

4897,1653347478.2640643,15670400,0.09338001906871796,1.1890513896942139,-0.15664786100387573,0.8552936315536499

4898,1653347479.065067,15673600,0.09338001906871796,1.1890513896942139,-0.15419088304042816,0.9084315299987793

4899,1653347481.0690658,15676800,0.09275352209806442,1.370406150817871,-0.15419088304042816,0.9084315299987793

4900,1653347481.2420645,15680000,0.09275352209806442,1.370406150817871,-0.152757465839386,0.7481516003608704

4901,1653347483.3670652,15683200,0.09275352209806442,1.370406150817871,-0.15018720924854279,0.7764813899993896

4902,1653347483.71207,15686400,0.09251498430967331,1.3874011039733887,-0.15018720924854279,0.7764813899993896

4903,1653347485.1580641,15689600,0.09251498430967331,1.3874011039733887,-0.14834824204444885,0.7607111930847168

4904,1653347486.1420643,15692800,0.09193447977304459,1.4105197191238403,-0.14834824204444885,0.7607111930847168

4905,1653347487.001066,15696000,0.09193447977304459,1.4105197191238403,-0.1460559070110321,0.7465969920158386

4906,1653347488.4300637,15699200,0.09153604507446289,1.3601748943328857,-0.1460559070110321,0.7465969920158386

4907,1653347488.9190643,15702400,0.09153604507446289,1.3601748943328857,-0.1439128816127777,0.8471089005470276

4908,1653347490.5790648,15705600,0.0928245335817337,1.3492056131362915,-0.1439128816127777,0.8471089005470276

4909,1653347490.7140648,15708800,0.0928245335817337,1.3492056131362915,-0.14255499839782715,0.9787402153015137

4910,1653347492.6480656,15712000,0.0928245335817337,1.3492056131362915,-0.14084772765636444,0.7831094264984131

4911,1653347493.0760643,15715200,0.09313174337148666,1.5453681945800781,-0.14084772765636444,0.7831094264984131

4912,1653347494.5671763,15718400,0.09313174337148666,1.5453681945800781,-0.1395702064037323,1.3971689939498901

4913,1653347495.4891777,15721600,0.09344267845153809,1.9835069179534912,-0.1395702064037323,1.3971689939498901

4914,1653347496.3913834,15724800,0.09344267845153809,1.9835069179534912,-0.14049986004829407,0.9258174896240234

4915,1653347498.068453,15728000,0.0919240191578865,1.4916448593139648,-0.14049986004829407,0.9258174896240234

4916,1653347498.3534534,15731200,0.0919240191578865,1.4916448593139648,-0.14341163635253906,0.8392037153244019

4917,1653347500.0715277,15734400,0.0919240191578865,1.4916448593139648,-0.14598268270492554,0.7527912259101868

4918,1653347500.5036654,15737600,0.08982105553150177,1.3767800331115723,-0.14598268270492554,0.7527912259101868

4919,1653347501.9517372,15740800,0.08982105553150177,1.3767800331115723,-0.14911678433418274,0.7517544031143188

4920,1653347502.8717363,15744000,0.08713190257549286,1.3272411823272705,-0.14911678433418274,0.7517544031143188

4921,1653347503.9247358,15747200,0.08713190257549286,1.3272411823272705,-0.15048550069332123,0.7408711314201355

4922,1653347505.4801793,15750400,0.0842977911233902,1.321374535560608,-0.15048550069332123,0.7408711314201355

4923,1653347505.8451807,15753600,0.0842977911233902,1.321374535560608,-0.15220783650875092,0.7371647357940674

4924,1653347508.0541823,15756800,0.0842977911233902,1.321374535560608,-0.15261618793010712,0.7634199261665344

4925,1653347508.2651794,15760000,0.08240477740764618,1.354743242263794,-0.15261618793010712,0.7634199261665344

4926,1653347509.9201803,15763200,0.08240477740764618,1.354743242263794,-0.15279927849769592,1.0853036642074585

4927,1653347510.62218,15766400,0.07911628484725952,1.532589077949524,-0.15279927849769592,1.0853036642074585

4928,1653347511.9031992,15769600,0.07911628484725952,1.532589077949524,-0.1519569307565689,1.0583059787750244

4929,1653347513.1463313,15772800,0.07754597067832947,1.2998253107070923,-0.1519569307565689,1.0583059787750244

4930,1653347514.2043333,15776000,0.07754597067832947,1.2998253107070923,-0.1520320028066635,0.7973036766052246

4931,1653347515.686332,15779200,0.07438615709543228,1.3841770887374878,-0.1520320028066635,0.7973036766052246

4932,1653347516.2123322,15782400,0.07438615709543228,1.3841770887374878,-0.15215902030467987,0.9539122581481934

4933,1653347517.9743338,15785600,0.07158592343330383,1.3856103420257568,-0.15215902030467987,0.9539122581481934

4934,1653347518.0713336,15788800,0.07158592343330383,1.3856103420257568,-0.15171778202056885,0.734484851360321

4935,1653347519.9563322,15792000,0.07158592343330383,1.3856103420257568,-0.15233014523983002,0.7717998027801514

4936,1653347520.535333,15795200,0.06869032233953476,1.4861576557159424,-0.15233014523983002,0.7717998027801514

4937,1653347521.682334,15798400,0.06869032233953476,1.4861576557159424,-0.15367087721824646,0.7651904821395874

4938,1653347522.673331,15801600,0.06657805293798447,1.3358566761016846,-0.15367087721824646,0.7651904821395874

4939,1653347523.3683321,15804800,0.06657805293798447,1.3358566761016846,-0.15391160547733307,0.9563812017440796

4940,1653347525.1413321,15808000,0.06561551988124847,1.8905011415481567,-0.15391160547733307,0.9563812017440796

4941,1653347525.2023313,15811200,0.06561551988124847,1.8905011415481567,-0.15576429665088654,1.1483359336853027

4942,1653347526.9461083,15814400,0.06561551988124847,1.8905011415481567,-0.15721939504146576,1.2334014177322388

4943,1653347527.583606,15817600,0.06446471065282822,1.8741815090179443,-0.15721939504146576,1.2334014177322388

4944,1653347528.5934052,15820800,0.06446471065282822,1.8741815090179443,-0.15895144641399384,1.3345961570739746

4945,1653347529.8254044,15824000,0.06562156975269318,2.9079580307006836,-0.15895144641399384,1.3345961570739746

4946,1653347530.6532779,15827200,0.06562156975269318,2.9079580307006836,-0.16207914054393768,3.513314723968506

4947,1653347532.0594153,15830400,0.06957095861434937,3.539571523666382,-0.16207914054393768,3.513314723968506

